z,logSFR,source
7.205366357069144,-1.5054347826086958,smooth-sn (blue)
7.2218782249742,-1.5054347826086958,smooth-sn (blue)
7.238390092879257,-1.5054347826086958,smooth-sn (blue)
7.254901960784314,-1.5054347826086958,smooth-sn (blue)
7.27141382868937,-1.5054347826086958,smooth-sn (blue)
7.287925696594427,-1.5054347826086958,smooth-sn (blue)
7.304437564499484,-1.5135869565217392,smooth-sn (blue)
7.320949432404541,-1.5380434782608696,smooth-sn (blue)
7.337461300309597,-1.5869565217391304,smooth-sn (blue)
7.3539731682146545,-1.6032608695652173,smooth-sn (blue)
7.370485036119711,-1.6032608695652173,smooth-sn (blue)
7.386996904024768,-1.6114130434782608,smooth-sn (blue)
7.4035087719298245,-1.6195652173913042,smooth-sn (blue)
7.420020639834881,-1.6521739130434783,smooth-sn (blue)
7.436532507739938,-1.6766304347826086,smooth-sn (blue)
7.4530443756449944,-1.6847826086956523,smooth-sn (blue)
7.469556243550052,-1.6847826086956523,smooth-sn (blue)
7.486068111455109,-1.6929347826086958,smooth-sn (blue)
7.502579979360165,-1.7010869565217392,smooth-sn (blue)
7.519091847265222,-1.7092391304347827,smooth-sn (blue)
7.535603715170279,-1.7092391304347827,smooth-sn (blue)
7.552115583075335,-1.7173913043478262,smooth-sn (blue)
7.568627450980392,-1.7418478260869565,smooth-sn (blue)
7.5851393188854495,-1.75,smooth-sn (blue)
7.601651186790505,-1.766304347826087,smooth-sn (blue)
7.618163054695563,-1.7744565217391304,smooth-sn (blue)
7.634674922600619,-1.7989130434782608,smooth-sn (blue)
7.651186790505676,-1.8070652173913042,smooth-sn (blue)
7.667698658410733,-1.8152173913043477,smooth-sn (blue)
7.684210526315789,-1.8233695652173914,smooth-sn (blue)
7.700722394220846,-1.8315217391304348,smooth-sn (blue)
7.717234262125903,-1.8478260869565217,smooth-sn (blue)
7.73374613003096,-1.8641304347826086,smooth-sn (blue)
7.750257997936016,-1.8641304347826086,smooth-sn (blue)
7.7667698658410735,-1.8641304347826086,smooth-sn (blue)
7.78328173374613,-1.8478260869565217,smooth-sn (blue)
7.799793601651187,-1.8396739130434783,smooth-sn (blue)
7.8163054695562435,-1.8233695652173914,smooth-sn (blue)
7.8328173374613,-1.8233695652173914,smooth-sn (blue)
7.849329205366357,-1.8152173913043477,smooth-sn (blue)
7.8658410732714135,-1.8070652173913042,smooth-sn (blue)
7.882352941176471,-1.8070652173913042,smooth-sn (blue)
7.898864809081528,-1.8070652173913042,smooth-sn (blue)
7.915376676986584,-1.7989130434782608,smooth-sn (blue)
7.931888544891641,-1.7907608695652173,smooth-sn (blue)
7.948400412796698,-1.7907608695652173,smooth-sn (blue)
7.964912280701754,-1.7744565217391304,smooth-sn (blue)
7.981424148606811,-1.7418478260869565,smooth-sn (blue)
7.997936016511868,-1.733695652173913,smooth-sn (blue)
8.014447884416924,-1.733695652173913,smooth-sn (blue)
8.030959752321982,-1.733695652173913,smooth-sn (blue)
8.047471620227038,-1.7418478260869565,smooth-sn (blue)
8.063983488132095,-1.7581521739130435,smooth-sn (blue)
8.179566563467493,-2.0108695652173916,smooth-sn (blue)
8.196078431372548,-2.0190217391304346,smooth-sn (blue)
8.212590299277606,-2.0190217391304346,smooth-sn (blue)
8.229102167182663,-2.0190217391304346,smooth-sn (blue)
8.24561403508772,-2.0190217391304346,smooth-sn (blue)
8.262125902992777,-2.0190217391304346,smooth-sn (blue)
8.278637770897832,-2.0108695652173916,smooth-sn (blue)
8.29514963880289,-2.0108695652173916,smooth-sn (blue)
8.311661506707946,-2.0027173913043477,smooth-sn (blue)
8.328173374613003,-2.0027173913043477,smooth-sn (blue)
8.34468524251806,-1.9864130434782608,smooth-sn (blue)
8.361197110423117,-1.9619565217391304,smooth-sn (blue)
8.377708978328172,-1.9375,smooth-sn (blue)
8.39422084623323,-1.921195652173913,smooth-sn (blue)
8.410732714138287,-1.9130434782608696,smooth-sn (blue)
8.427244582043343,-1.9048913043478262,smooth-sn (blue)
8.4437564499484,-1.8885869565217392,smooth-sn (blue)
8.460268317853457,-1.8804347826086958,smooth-sn (blue)
