z,logMstar,logSFR,source
10,6.8346333853354135,-1.098360655737705,smooth-sn (blue)
10,6.87207488299532,-1.012295081967213,smooth-sn (blue)
10,6.881435257410296,-1.0,smooth-sn (blue)
10,6.890795631825273,-0.987704918032787,smooth-sn (blue)
10,6.90015600624025,-0.9754098360655736,smooth-sn (blue)
10,6.909516380655226,-0.9631147540983607,smooth-sn (blue)
10,6.918876755070203,-0.9508196721311477,smooth-sn (blue)
10,6.928237129485179,-0.9385245901639343,smooth-sn (blue)
10,6.937597503900156,-0.9139344262295084,smooth-sn (blue)
10,6.946957878315133,-0.901639344262295,smooth-sn (blue)
10,6.956318252730109,-0.889344262295082,smooth-sn (blue)
10,6.965678627145086,-0.877049180327869,smooth-sn (blue)
10,6.975039001560063,-0.8647540983606556,smooth-sn (blue)
10,6.984399375975039,-0.8401639344262297,smooth-sn (blue)
10,6.993759750390016,-0.8278688524590163,smooth-sn (blue)
10,7.003120124804992,-0.8155737704918034,smooth-sn (blue)
10,7.0124804992199685,-0.80327868852459,smooth-sn (blue)
10,7.021840873634945,-0.790983606557377,smooth-sn (blue)
10,7.031201248049922,-0.778688524590164,smooth-sn (blue)
10,7.040561622464899,-0.7540983606557377,smooth-sn (blue)
10,7.049921996879875,-0.7418032786885247,smooth-sn (blue)
10,7.059282371294852,-0.7295081967213113,smooth-sn (blue)
10,7.068642745709829,-0.7172131147540983,smooth-sn (blue)
10,7.078003120124805,-0.7049180327868854,smooth-sn (blue)
10,7.087363494539781,-0.692622950819672,smooth-sn (blue)
10,7.096723868954758,-0.668032786885246,smooth-sn (blue)
10,7.106084243369734,-0.6557377049180326,smooth-sn (blue)
10,7.1154446177847115,-0.6434426229508197,smooth-sn (blue)
10,7.124804992199688,-0.6311475409836067,smooth-sn (blue)
10,7.134165366614665,-0.6188524590163933,smooth-sn (blue)
10,7.1435257410296416,-0.6065573770491803,smooth-sn (blue)
10,7.152886115444618,-0.5942622950819674,smooth-sn (blue)
10,7.162246489859594,-0.569672131147541,smooth-sn (blue)
10,7.171606864274571,-0.557377049180328,smooth-sn (blue)
10,7.180967238689547,-0.5450819672131146,smooth-sn (blue)
10,7.190327613104524,-0.5327868852459017,smooth-sn (blue)
10,7.199687987519501,-0.5204918032786887,smooth-sn (blue)
10,7.209048361934477,-0.5081967213114753,smooth-sn (blue)
10,7.2184087363494545,-0.4836065573770494,smooth-sn (blue)
10,7.227769110764431,-0.471311475409836,smooth-sn (blue)
10,7.237129485179407,-0.459016393442623,smooth-sn (blue)
10,7.246489859594384,-0.44672131147541005,smooth-sn (blue)
10,7.25585023400936,-0.43442622950819665,smooth-sn (blue)
10,7.265210608424336,-0.4221311475409837,smooth-sn (blue)
10,7.274570982839314,-0.3975409836065573,smooth-sn (blue)
10,7.28393135725429,-0.38524590163934436,smooth-sn (blue)
10,7.293291731669267,-0.37295081967213095,smooth-sn (blue)
10,7.302652106084244,-0.360655737704918,smooth-sn (blue)
10,7.31201248049922,-0.348360655737705,smooth-sn (blue)
10,7.3213728549141965,-0.3360655737704916,smooth-sn (blue)
10,7.330733229329173,-0.32377049180327866,smooth-sn (blue)
10,7.340093603744149,-0.3114754098360657,smooth-sn (blue)
10,7.349453978159126,-0.3114754098360657,smooth-sn (blue)
10,7.358814352574103,-0.2991803278688523,smooth-sn (blue)
10,7.368174726989079,-0.2991803278688523,smooth-sn (blue)
10,7.377535101404057,-0.28688524590163933,smooth-sn (blue)
10,7.386895475819033,-0.27459016393442637,smooth-sn (blue)
10,7.396255850234009,-0.27459016393442637,smooth-sn (blue)
10,7.405616224648986,-0.26229508196721296,smooth-sn (blue)
10,7.414976599063962,-0.26229508196721296,smooth-sn (blue)
10,7.424336973478939,-0.25,smooth-sn (blue)
10,7.433697347893916,-0.25,smooth-sn (blue)
10,7.443057722308892,-0.23770491803278704,smooth-sn (blue)
